from_Indicator,Relation,to_chemicals,CAS
Arsenic compounds,INCLUDE,Sodium hydrogen 4-aminophenylarsonate,127-85-5
Arsenic compounds,INCLUDE,"4-[(2-arsonophenyl)azo]-3-hydroxynaphthalene-2,7-disulphonic acid",132-33-2
Arsenic compounds,INCLUDE,Sodium hydrogen [4-[(hydroxyacetyl)amino]phenyl]arsonate,140-45-4
Arsenic compounds,INCLUDE,Disodium methylarsonate,144-21-8
Arsenic compounds,INCLUDE,4-(glycolloylamino)phenylarsonic acid,144-87-6
Arsenic compounds,INCLUDE,Tetramethyldiarsine,471-35-2
Arsenic compounds,INCLUDE,Melarsoprol,494-79-1
Arsenic compounds,INCLUDE,Tetraphenylarsonium bromide,507-27-7
Arsenic compounds,INCLUDE,Tetraphenylarsonium chloride,507-28-8
Arsenic compounds,INCLUDE,"2-[[7-[(2-arsonophenyl)azo]-1,8-dihydroxy-3,6-disulpho-2-naphthyl]azo]benzoic acid",3772-44-9
Arsenic compounds,INCLUDE,p-tolylarsonic acid,3969-54-8
Arsenic compounds,INCLUDE,Ethylenebis(diphenylarsine),4431-24-7
Arsenic compounds,INCLUDE,"10-[(dimethylthiocarbamoyl)thio]-5,10-dihydrophenarsazine",4808-24-6
Arsenic compounds,INCLUDE,2-nitrophenylarsonic acid,5410-29-7
Arsenic compounds,INCLUDE,4-(2-chloroacetamido)phenylarsonic acid,5425-62-7
Arsenic compounds,INCLUDE,4-chlorophenylarsonic acid,5440-04-0
Arsenic compounds,INCLUDE,Calcium bis(dimethylarsinate),5785-43-3
Arsenic compounds,INCLUDE,"[4-[(4,6-diamino-1,3,5-triazin-2-yl)amino]phenyl]arsonic acid",5806-89-3
Arsenic compounds,INCLUDE,Sodium hydrogen (3-acetamido-4-hydroxyphenyl)arsonate,5892-48-8
Arsenic compounds,INCLUDE,Calcium bis(methylarsonate),5902-95-4
Arsenic compounds,INCLUDE,Iron tris(dimethylarsinate),5968-84-3
Arsenic compounds,INCLUDE,Diiodo(phenyl)arsine,6380-34-3
Arsenic compounds,INCLUDE,Sodium p-arsonobenzenesulphonate,6634-88-4
Arsenic compounds,INCLUDE,4-(4-aminophenylazo)phenylarsonic acid,6966-64-9
Arsenic compounds,INCLUDE,Sodium 4-(glycolloylamino)phenylarsonate,7681-83-6
Arsenic compounds,INCLUDE,Arsine,7784-42-1
Arsenic compounds,INCLUDE,Copper acetoarsenite,12002-03-8
Arsenic compounds,INCLUDE,"Disodium 3,6-bis[[2-[(dihydroxyarsino)oxy]phenyl]azo]-4,5-dihydroxynaphthalene-2,7-disulphonate",84215-47-4
Arsenic compounds,INCLUDE,"Disodium 3-[[2-[(dihydroxyarsino)oxy]phenyl]azo]-4,5-dihydroxynaphthalene-2,7-disulphonate",84215-48-5
Arsenic compounds,INCLUDE,Dibismuth tris(methylarsonate),85237-42-9
Arsenic compounds,INCLUDE,"Leucomycin V, 9-O-[5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl]-, [9(5S,6R)]-, [1,2-ethanediylbis(imino-4,1-phenylene)]bis[arsonate] (1:1) (salt)",93841-79-3
Arsenic compounds,INCLUDE,(diphenylarsino)dimethylgallium,94113-53-8
Arsenic compounds,INCLUDE,"(4-aminophenyl)arsonic acid, compound with piperazine (1:1)",94232-26-5
Arsenic compounds,INCLUDE,Sodium hydrogen allylarsonate,94278-22-5
Arsenic compounds,INCLUDE,Disodium p-tolylarsonate,94313-58-3
Arsenic compounds,INCLUDE,"Arsenous acid, lead(2+) salt (1:1)",100822-74-0
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), lead(4+) salt (3:2)",10102-48-4
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), copper(2+) salt (4:1)",102525-64-4
Arsenic compounds,INCLUDE,Gallium arsenide phosphide,106097-61-4
Arsenic compounds,INCLUDE,4-Aminophenylarsenoxide,1122-90-3
Arsenic compounds,INCLUDE,"Magnesium arsenate, decahydrate",117746-50-6
Arsenic compounds,INCLUDE,Boron arsenide (BAs),12005-69-5
Arsenic compounds,INCLUDE,Boron arsenide (B6As),12005-70-8
Arsenic compounds,INCLUDE,Manganese arsenide (Mn2As),12005-96-8
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), lead(2+) salt (2:3), tetrahydrate",120119-64-4
Arsenic compounds,INCLUDE,Tin arsenide (SnAs),12044-32-5
Arsenic compounds,INCLUDE,Cobalt arsenide (CoAs2),12044-42-7
Arsenic compounds,INCLUDE,Platinum arsenide (PtAs2),12044-52-9
Arsenic compounds,INCLUDE,Cobalt arsenide (CoAs3),12256-04-1
Arsenic compounds,INCLUDE,Tetraarsenic tetrasulfide,12279-90-2
Arsenic compounds,INCLUDE,Arsenic sulfide (As2S4),12344-68-2
Arsenic compounds,INCLUDE,"Arsenopyrite, cobaltoan",12414-94-7
Arsenic compounds,INCLUDE,"Arsenous acid, antimony(3+) salt (1:1)",12523-20-5
Arsenic compounds,INCLUDE,Arsenic selenide,12626-31-2
Arsenic compounds,INCLUDE,"Arsorane, pentahydroxy-, copper(2+) salt (1:2)",12774-48-0
Arsenic compounds,INCLUDE,Arsenic oxide,12777-38-7
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), ammonium salt (2:1)",127795-79-3
Arsenic compounds,INCLUDE,Nickel arsenide,12795-30-1
Arsenic compounds,INCLUDE,Rammelsbergite (NiAs2),1303-22-6
Arsenic compounds,INCLUDE,"Zinc arsenenate oxide (Zn5(AsO3)4O3), tetrahydrate",1303-39-5
Arsenic compounds,INCLUDE,Diarsenic acid,13453-15-1
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), copper(2+) salt (1:1)",13464-31-8
Arsenic compounds,INCLUDE,"Arsenic acid, tripotassium salt",13464-36-3
Arsenic compounds,INCLUDE,"Arsenic acid, calcium salt (1:2)",13464-39-6
Arsenic compounds,INCLUDE,"Arsonic acid, disodium salt",13466-06-3
Arsenic compounds,INCLUDE,Boron arsenate,13510-31-1
Arsenic compounds,INCLUDE,"Zinc arsenate, octahydrate",13510-72-0
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), bismuth salt (1:1)",13702-38-0
Arsenic compounds,INCLUDE,Arsenenous acid,13768-07-5
Arsenic compounds,INCLUDE,Ammonium magnesium arsenate,14644-70-3
Arsenic compounds,INCLUDE,"Arsenenous acid, calcium salt (2:1)",15194-98-6
Arsenic compounds,INCLUDE,"Arsenious acid (HAsO2), strontium salt",15195-06-9
Arsenic compounds,INCLUDE,Calcium arsenate fluoride,17068-86-9
Arsenic compounds,INCLUDE,Arsenic chloride (AsCl),17522-78-0
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), dipotassium salt",21093-83-4
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), magnesium salt (2:3)",21480-65-9
Arsenic compounds,INCLUDE,Arsenic pentachloride,22441-45-8
Arsenic compounds,INCLUDE,"Arsenous acid, gallium salt (1:1)",24343-41-7
Arsenic compounds,INCLUDE,Manganese arsenate,27526-45-0
Arsenic compounds,INCLUDE,"Arsenous acid, zinc salt (2:3)",28837-97-0
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), cobalt(2+) salt",29871-10-1
Arsenic compounds,INCLUDE,"arsenic acid (H3AsO4), calcium salt(2:3), dihydrate",30621-31-9
Arsenic compounds,INCLUDE,"Arsine oxide, dichloro(2-chlorovinyl)-",333-25-5
Arsenic compounds,INCLUDE,"Arsenous acid, tricopper(1+) salt",33382-64-8
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), lead(4+) salt (2:1), monohydrate",33940-95-3
Arsenic compounds,INCLUDE,"Arsonic acid, methyl-, iron salt (9CI)",33972-75-7
Arsenic compounds,INCLUDE,"Arsenenous acid, nickel(2+) salt",33992-49-3
Arsenic compounds,INCLUDE,"Arsenous acid, tripotassium salt",36267-15-9
Arsenic compounds,INCLUDE,Arsonate,36465-76-6
Arsenic compounds,INCLUDE,Arsenic chloride,37226-49-6
Arsenic compounds,INCLUDE,Iron arsenide,39310-41-3
Arsenic compounds,INCLUDE,"Arsine, bis(2-chlorovinyl)chloro-",40334-69-8
Arsenic compounds,INCLUDE,"Arsine, tris(2-chloroethenyl)-",40334-70-1
Arsenic compounds,INCLUDE,Arsenic chloride (AsCl2),41996-37-6
Arsenic compounds,INCLUDE,"Arsenic acid, (H3-As-O4), lead(4+) salt (4:3)",53404-12-9
Arsenic compounds,INCLUDE,"Arsonic acid, [4-[[4-(dimethylamino)phenyl]azo]phenyl]-, monohydrochloride",73688-85-4
Arsenic compounds,INCLUDE,Tetraphenylarsonium Chloride Hydrochloride Hydrate,123334-18-9
Arsenic compounds,INCLUDE,Silver hexafluoroarsenate,12005-82-2
Arsenic compounds,INCLUDE,Arsenic sulfide (As2S5),1303-34-0
Arsenic compounds,INCLUDE,Arsenic disulfide,1303-32-8
Arsenic compounds,INCLUDE,Arsenazo III sodium,138608-19-2
Arsenic compounds,INCLUDE,(Carboxymethyl)trimethylarsonium hydroxide inner salt,64436-13-1
Arsenic compounds,INCLUDE,"Calcium arsenate (CaHAsO4) (6CI,7CI)",15195-00-3
Arsenic compounds,INCLUDE,Aluminium gallium arsenide,37382-15-3
Arsenic compounds,INCLUDE,"Arsine, dichloromethyl-",593-89-5
Arsenic compounds,INCLUDE,"Arsino, thioxo-",12044-79-0
Arsenic compounds,INCLUDE,Arsenenic acid,10102-53-1
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), monosodium salt",10103-60-3
Arsenic compounds,INCLUDE,"Diarsenic acid, sodium salt",13464-42-1
Arsenic compounds,INCLUDE,"Arsenenous acid, zinc salt",10326-24-6
Arsenic compounds,INCLUDE,"Arsenous acid, tricopper(1+) salt, ammoniated",37337-11-4
Arsenic compounds,INCLUDE,Arsenic tetrasulfide,56729-51-2
Arsenic compounds,INCLUDE,"Arsonic acid, monoammonium salt",54058-01-4
Arsenic compounds,INCLUDE,Tetraarsenic trisulfide,12512-13-9
Arsenic compounds,INCLUDE,Arsenic(5 ) hexafluoride,16973-45-8
Arsenic compounds,INCLUDE,Arsenic tetrachloride fluoride,87198-15-0
Arsenic compounds,INCLUDE,"Arsonic acid, lead(2+) salt (1:1)",109882-46-4
Arsenic compounds,INCLUDE,(2-Chloroethenyl)arsonous dichloride,541-25-3
Arsenic compounds,INCLUDE,Arsenic sulfide (AsS2),56320-22-0
Arsenic compounds,INCLUDE,Zinc arsenide,56450-43-2
Arsenic compounds,INCLUDE,"Arsenous acid, iron(3+) salt (1:1)",60168-33-4
Arsenic compounds,INCLUDE,Sodium oxidoarsonous acid,60189-99-3
Arsenic compounds,INCLUDE,Arsenic trichloride,60646-36-8
Arsenic compounds,INCLUDE,Gallium arsenic phosphide,60953-19-7
Arsenic compounds,INCLUDE,Strontium arsenide (SrAs3),61462-16-6
Arsenic compounds,INCLUDE,(4-((2-Amino-2-oxoethyl)amino)phenyl)arsonic acid,618-25-7
Arsenic compounds,INCLUDE,"Arsonic acid, methyl-, compd. with 1-octanamine (1:1)",6379-37-9
Arsenic compounds,INCLUDE,"Ferric arsenite, basic",63989-69-5
Arsenic compounds,INCLUDE,iron;iron(3+);methyl-dioxido-oxo-$l^{5}-arsane,6585-53-1
Arsenic compounds,INCLUDE,"Silicic acid (H4SiO4), magnesium manganese(2+) zinc salt, arsenic and lead-doped",68784-76-9
Arsenic compounds,INCLUDE,"Silicic acid (H4SiO4), tetraethyl ester, polymer with arsenic oxide (As2O3)",68957-75-5
Arsenic compounds,INCLUDE,"Arsenenous acid, silver(1+) salt",69507-43-3
Arsenic compounds,INCLUDE,"Benzenesulfonic acid, 4-arsenoso-, sodium salt",71130-50-2
Arsenic compounds,INCLUDE,"Benzenesulfonic acid, 4-arsenoso-",71130-51-3
Arsenic compounds,INCLUDE,"Arsenenous acid, lithium salt",72845-34-2
Arsenic compounds,INCLUDE,"Arsenous acid, copper(2+) salt, hydrate, (2:3:3)",73156-86-2
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), lead salt",7645-25-2
Arsenic compounds,INCLUDE,"Arsenenous acid, neodymium(3+) salt",76871-63-1
Arsenic compounds,INCLUDE,"Arsenenous acid, lutetium(3+) salt",76871-65-3
Arsenic compounds,INCLUDE,"Arsenenous acid, cadmium neodymium(3+) salt (5:1:1)",76871-66-4
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), copper(2+) salt (2:3)",76407-89-1
Arsenic compounds,INCLUDE,"Arsenenous acid, cesium salt",82005-78-5
Arsenic compounds,INCLUDE,"Arsenenous acid, mercury(2+) salt",82980-40-3
Arsenic compounds,INCLUDE,"Arsenenous acid, antimony(3+) salt",83877-96-7
Arsenic compounds,INCLUDE,"Arsenenous acid, cadmium salt",84953-43-5
Arsenic compounds,INCLUDE,"Arsenenous acid, cobalt(2+) salt",85561-28-0
Arsenic compounds,INCLUDE,"Arsenenous acid, manganese(2+) salt",85561-29-1
Arsenic compounds,INCLUDE,"Arsenenous acid, rubidium salt",85906-44-1
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), calcium salt (7:10)",85949-61-7
Arsenic compounds,INCLUDE,"Arsenenous acid, praseodymium(3+) salt",86859-92-9
Arsenic compounds,INCLUDE,"Arsenenous acid, cerium(3+) salt",86859-93-0
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), copper(2+) salt (1:1), sesquihydrate",88442-64-2
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), copper(2+) salt (4:5)",89054-01-3
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), lead(2+) salt (4:5)",89054-03-5
Arsenic compounds,INCLUDE,"arsenic acid, calcium salt",89054-07-9
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), calcium salt (4:5)",89067-81-2
Arsenic compounds,INCLUDE,Strontium arsenite (Sr(As2O4)),91724-16-2
Arsenic compounds,INCLUDE,"Arsenous acid, titanium salt",92278-94-9
Arsenic compounds,INCLUDE,"Arsonic acid, tin salt",93080-00-3
Arsenic compounds,INCLUDE,"Arsenenous acid, ammonium copper salt",94854-78-1
Arsenic compounds,INCLUDE,"Arsenenous acid, ammonium zinc salt",94854-80-5
Arsenic compounds,INCLUDE,"ARSENIC ACID (H3ASO4), HEMIHYDRATE",7774-41-6
Arsenic compounds,INCLUDE,"Arsonic acid, methyl-, calcium salt (1:1)",6423-72-9
Arsenic compounds,INCLUDE,trisodium;trioxido(oxo)-$l^{5}-arsane;dodecahydrate,13510-46-8
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), monopotassium salt, 1/5hydrate",164170-84-7
Arsenic compounds,INCLUDE,Tripotassium arsenate 3/2hydrate,62702-52-7
Arsenic compounds,INCLUDE,Arsenous acid,13464-58-9
Arsenic compounds,INCLUDE,Tin arsenide (Sn4As3),12397-66-9
Arsenic compounds,INCLUDE,"Strychnidin-10-one, compd. with methylarsonate (1:1)",80879-64-7
Arsenic compounds,INCLUDE,"Methyl 17α-hydroxyyohimban-16α-carboxylate, methylarsonate (1:1)",80925-03-7
Arsenic compounds,INCLUDE,Calcium arsenite,52740-16-6
Arsenic compounds,INCLUDE,"Trisodium 4-[(o-arsonophenyl)azo]-3-oxidonaphthalene-2,7-disulphonate",53669-45-7
Arsenic compounds,INCLUDE,Acetarsol sodium,55588-51-7
Cadmium and its compounds,INCLUDE,Cadmium iodate,7790-81-0
Cadmium and its compounds,INCLUDE,Cadmium dinitrite,7790-83-2
Cadmium and its compounds,INCLUDE,Cadmium wolframate,7790-85-4
Cadmium and its compounds,INCLUDE,Cadmium zinc sulfide yellow,8048/7/5
Cadmium and its compounds,INCLUDE,Cadmium chloride,10108-64-2
Cadmium and its compounds,INCLUDE,Cadmium sulphate,10124-36-4
Cadmium and its compounds,INCLUDE,Cadmium myristate,10196-67-5
Cadmium and its compounds,INCLUDE,Cadmium nitrate,10325-94-7
Cadmium and its compounds,INCLUDE,Cadmium dioleate,10468-30-1
Cadmium and its compounds,INCLUDE,Cadmium selenide sulphide,11112-63-3
Cadmium and its compounds,INCLUDE,Cadmium titanium trioxide,12014-14-1
Cadmium and its compounds,INCLUDE,Tricadmium diphosphide,12014-28-7
Cadmium and its compounds,INCLUDE,"Antimony, compound with cadmium (2:3)",12014-29-8
Cadmium and its compounds,INCLUDE,Barium cadmium tetrastearate,1191-79-3
Cadmium and its compounds,INCLUDE,Cadmium oxide,1306-19-0
Cadmium and its compounds,INCLUDE,Cadmium sulphide,1306-23-6
Cadmium and its compounds,INCLUDE,Cadmium selenide,1306-24-7
Cadmium and its compounds,INCLUDE,Cadmium telluride,1306-25-8
Cadmium and its compounds,INCLUDE,Cadmium di(octanoate),2191/10/8
Cadmium and its compounds,INCLUDE,Cadmium distearate,2223-93-0
Cadmium and its compounds,INCLUDE,Cadmium p-toluate,2420-97-5
Cadmium and its compounds,INCLUDE,Cadmium bis(2-ethylhexanoate),2420-98-6
Cadmium and its compounds,INCLUDE,Cadmium dilaurate,2605-44-9
Cadmium and its compounds,INCLUDE,Cadmium didecanoate,2847-16-7
Cadmium and its compounds,INCLUDE,Cadmium bis[benzoate],3026-22-0
Cadmium and its compounds,INCLUDE,Cadmium methacrylate,24345-60-6
Cadmium and its compounds,INCLUDE,Cadmium epoxyoctadecanoate,26264-48-2
Cadmium and its compounds,INCLUDE,Cadmium zirconium trioxide,12139-23-0
Cadmium and its compounds,INCLUDE,Pentacadmium chloridetriphosphate,12185-64-7
Cadmium and its compounds,INCLUDE,Dicadmium niobate,12187-14-3
Cadmium and its compounds,INCLUDE,Dicadmium selenide sulphide,12214-12-9
Cadmium and its compounds,INCLUDE,Cadmium ditantalum hexaoxide,12292-07-8
Cadmium and its compounds,INCLUDE,Cadmium zinc sulphide,12442-27-2
Cadmium and its compounds,INCLUDE,Cadmium selenide sulfide,12626-36-7
Cadmium and its compounds,INCLUDE,Cadmium sulfoselenide orange,12656-57-4
Cadmium and its compounds,INCLUDE,Tricadmium bis(phosphate),13477-17-3
Cadmium and its compounds,INCLUDE,Cadmium silicate,13477-19-5
Cadmium and its compounds,INCLUDE,Cadmium sulphite,13477-23-1
Cadmium and its compounds,INCLUDE,Diboron tricadmium hexaoxide,13701-66-1
Cadmium and its compounds,INCLUDE,Dicadmium hexakis(cyano-C)ferrate(4-),13755-33-4
Cadmium and its compounds,INCLUDE,Cadmium selenite,13814-59-0
Cadmium and its compounds,INCLUDE,Cadmium selenate,13814-62-5
Cadmium and its compounds,INCLUDE,Cadmium diricinoleate,13832-25-2
Cadmium and its compounds,INCLUDE,Cadmium orthophosphate,13847-17-1
Cadmium and its compounds,INCLUDE,Cadmium molybdenum tetroxide,13972-68-4
Cadmium and its compounds,INCLUDE,Cadmium disulphamate,14017-36-8
Cadmium and its compounds,INCLUDE,Cadmium hydrogen phosphate,14067-62-0
Cadmium and its compounds,INCLUDE,Cadmium bis(diethyldithiocarbamate),14239-68-0
Cadmium and its compounds,INCLUDE,Cadmium chromate,14312-00-6
Cadmium and its compounds,INCLUDE,Cadmium dipotassium tetracyanide,14402-75-6
Cadmium and its compounds,INCLUDE,Cadmium tetrafluoroborate,14486-19-2
Cadmium and its compounds,INCLUDE,"Bis(dibutyldithiocarbamato-S,S')cadmium",14566-86-0
Cadmium and its compounds,INCLUDE,"Bis(pentane-2,4-dionato-O,O')cadmium",14689-45-3
Cadmium and its compounds,INCLUDE,Tris(ethylenediamine)cadmium dihydroxide,14874-24-9
Cadmium and its compounds,INCLUDE,Cadmium diicosanoate,14923-81-0
Cadmium and its compounds,INCLUDE,Cadmium bis(piperidine-1-carbodithioate),14949-59-8
Cadmium and its compounds,INCLUDE,"Bis(dimethyldithiocarbamato-S,S')cadmium",14949-60-1
Cadmium and its compounds,INCLUDE,"Lauric acid, barium cadmium salt",15337-60-7
Cadmium and its compounds,INCLUDE,Disodium tetrakis(cyano-C)cadmate(2-),15682-87-8
Cadmium and its compounds,INCLUDE,"Dipotassium [[N,N'-ethylenebis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']cadmate(2-)",15708-29-9
Cadmium and its compounds,INCLUDE,Cadmium acrylate,15743-19-8
Cadmium and its compounds,INCLUDE,Cadmium tellurium trioxide,15851-44-2
Cadmium and its compounds,INCLUDE,Cadmium tellurium tetraoxide,15852-14-9
Cadmium and its compounds,INCLUDE,Cadmium dilactate,16039-55-7
Cadmium and its compounds,INCLUDE,Cadmium divanadium hexoxide,16056-72-7
Cadmium and its compounds,INCLUDE,"5-oxo-L-proline, cadmium salt",16105-06-9
Cadmium and its compounds,INCLUDE,Cadmium propionate,16986-83-7
Cadmium and its compounds,INCLUDE,Cadmium hexafluorosilicate(2-),17010-21-8
Cadmium and its compounds,INCLUDE,Bis(ethylenediamine)cadmium(2+) bis[dicyanoaurate(1-)],18974-20-4
Cadmium and its compounds,INCLUDE,Cadmium diphenolate,18991-05-4
Cadmium and its compounds,INCLUDE,Cadmium bis(dipentyldithiocarbamate),19010-65-2
Cadmium and its compounds,INCLUDE,Cadmium disalicylate,19010-79-8
Cadmium and its compounds,INCLUDE,Cadmium hydroxide,21041-95-2
Cadmium and its compounds,INCLUDE,Cadmium sulfoselenide red,58339-34-7
Cadmium and its compounds,INCLUDE,"Naphthenic acids, cadmium salts",61789-34-2
Cadmium and its compounds,INCLUDE,Cadmium neodecanoate,61951-96-0
Cadmium and its compounds,INCLUDE,Cadmium bis(heptadecanoate),62149-56-8
Cadmium and its compounds,INCLUDE,Cadmium pentadecanoate,63400-09-9
Cadmium and its compounds,INCLUDE,"(S)-dichloro[2-[[(2,3-dihydroxypropoxy)hydroxyphosphinyl]oxy]triethylmethylammoniumato]cadmium",64681-08-9
Cadmium and its compounds,INCLUDE,"Bis(propane-1,2-diyldiamine-N,N')cadmium(2+) bis[bis(cyano-C)aurate(1-)]",67906-19-8
Cadmium and its compounds,INCLUDE,Cadmium dilinoleate,67939-62-2
Cadmium and its compounds,INCLUDE,"Tetrapotassium [[[nitrilotris(methylene)]tris[phosphonato]](6-)-N,O,O'',O'''']cadmate(6-)",67989-93-9
Cadmium and its compounds,INCLUDE,Cadmium m-toluate,68092-45-5
Cadmium and its compounds,INCLUDE,"Fatty acids, C10-18, cadmium salts",68131-58-8
Cadmium and its compounds,INCLUDE,"Fatty acids, C12-18, cadmium salts",68131-59-9
Cadmium and its compounds,INCLUDE,Benzyltriphenylphosphonium tetrachlorocadmate,68214-25-5
Cadmium and its compounds,INCLUDE,Pentapotassium hydrogen [[[ethylenebis[nitrilobis(methylene)]]tetrakis[phosphonato]](8-)]cadmate(6-),68309-98-8
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), solid soln. with zinc sulfide, copper and lead-doped",68332-81-0
Cadmium and its compounds,INCLUDE,"Fatty acids, C14-18, cadmium salts",68409-82-5
Cadmium and its compounds,INCLUDE,"Cadmium, benzoate p-tert-butylbenzoate complexes",68478-53-5
Cadmium and its compounds,INCLUDE,"Pyrochlore, bismuth cadmium ruthenium",68479-13-0
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), solid soln. with zinc sulfide, aluminum and cobalt and copper and silver-doped",68784-10-1
Cadmium and its compounds,INCLUDE,"Barium cadmium calcium chloride fluoride phosphate, antimony and manganese-doped",68784-55-4
Cadmium and its compounds,INCLUDE,"Fatty acids, tall-oil, cadmium salts",68855-80-1
Cadmium and its compounds,INCLUDE,"Fatty acids, C8-18 and C18-unsatd., cadmium salts",68876-84-6
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), aluminum and copper-doped",68876-98-2
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), aluminum and silver-doped",68876-99-3
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), copper chloride-doped",68877-00-9
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), silver chloride-doped",68877-01-0
Cadmium and its compounds,INCLUDE,"Cadmium sulfide (CdS), copper and lead-doped",68891-87-2
Cadmium and its compounds,INCLUDE,"Fatty acids, tallow, hydrogenated, cadmium salts",68953-39-9
Cadmium and its compounds,INCLUDE,"Resin acids and Rosin acids, cadmium salts",68956-81-0
Cadmium and its compounds,INCLUDE,Hydrogen [4-[(5-chloro-4-methyl-2-sulphophenyl)azo]-3-hydroxynaphthalene-2-carboxylato(3-)]cadmate(1-),68966-97-2
Cadmium and its compounds,INCLUDE,"Cadmium, dross",69011-69-4
Cadmium and its compounds,INCLUDE,"Wastewater, cadmium sulfate electrolytic, acid",69012-21-1
Cadmium and its compounds,INCLUDE,"Flue dust, cadmium-refining",69012-57-3
Cadmium and its compounds,INCLUDE,"Calcines, cadmium residue",69029-63-6
Cadmium and its compounds,INCLUDE,"Leach residues, cadmium-refining",69029-70-5
Cadmium and its compounds,INCLUDE,"Residues, cadmium-refining",69029-77-2
Cadmium and its compounds,INCLUDE,"Slimes and Sludges, cadmium-refining, oxidized",69029-90-9
Cadmium and its compounds,INCLUDE,"Slimes and Sludges, cadmium sump tank",69029-91-0
Cadmium and its compounds,INCLUDE,Cadmium(2+) 12-hydroxyoctadecanoate,69121-20-6
Cadmium and its compounds,INCLUDE,Cadmium potassium 1-(hydroxyethylidene)bisphosphonate(1:2:1),69190-99-4
Cadmium and its compounds,INCLUDE,"Fatty acids, C12-18, barium cadmium salts",70084-75-2
Cadmium and its compounds,INCLUDE,"Cadmium selenide (CdSe), solid soln. with cadmium sulfide",71243-75-9
Cadmium and its compounds,INCLUDE,"(R)-12-hydroxyoleic acid, barium cadmium salt",71411-66-0
